"Pantone","Process Yellow","#FFFF00"
"Pantone","Pantone 100","#FFFF7D"
"Pantone","Pantone 101","#FFFF36"
"Pantone","Pantone 102","#FFFC0D"
"Pantone","Pantone Yellow","#FFFC00"
"Pantone","Pantone 103","#D1CB00"
"Pantone","Pantone 104","#B3AD00"
"Pantone","Pantone 105","#807C00"
"Pantone","Pantone 106","#FFFA4F"
"Pantone","Pantone 107","#FFF536"
"Pantone","Pantone 108","#FFF00D"
"Pantone","Pantone 109","#FFE600"
"Pantone","Pantone 110","#EDD100"
"Pantone","Pantone 111","#BAA600"
"Pantone","Pantone 112","#9E8E00"
"Pantone","Pantone 113","#FFED57"
"Pantone","Pantone 114","#FFEB45"
"Pantone","Pantone 115","#FFE833"
"Pantone","Pantone 116","#FFD600"
"Pantone","Pantone 117","#D9B200"
"Pantone","Pantone 118","#BA9900"
"Pantone","Pantone 119","#827200"
"Pantone","Pantone 120","#FFE86B"
"Pantone","Pantone 1205","#FFF2B0"
"Pantone","Pantone 121","#FFE34F"
"Pantone","Pantone 1215","#FFE88C"
"Pantone","Pantone 122","#FFD433"
"Pantone","Pantone 1225","#FFD461"
"Pantone","Pantone 123","#FFC20F"
"Pantone","Pantone 1235","#FFB517"
"Pantone","Pantone 124","#F0AD00"
"Pantone","Pantone 1245","#D19700"
"Pantone","Pantone 125","#BD8C00"
"Pantone","Pantone 1255","#A87B00"
"Pantone","Pantone 126","#A17800"
"Pantone","Pantone 1265","#7D5B00"
"Pantone","Pantone 127","#FFED80"
"Pantone","Pantone 128","#FFE359"
"Pantone","Pantone 129","#FFD63B"
"Pantone","Pantone 130","#FFB300"
"Pantone","Pantone 131","#E89E00"
"Pantone","Pantone 132","#B38100"
"Pantone","Pantone 133","#705A00"
"Pantone","Pantone 134","#FFE38C"
"Pantone","Pantone 1345","#FFDB87"
"Pantone","Pantone 135","#FFCF66"
"Pantone","Pantone 1355","#FFCC70"
"Pantone","Pantone 136","#FFBA3D"
"Pantone","Pantone 1365","#FFB547"
"Pantone","Pantone 137","#FFA61A"
"Pantone","Pantone 1375","#FF991A"
"Pantone","Pantone 138","#FC9200"
"Pantone","Pantone 1385","#ED8500"
"Pantone","Pantone 139","#C47C00"
"Pantone","Pantone 1395","#A15F00"
"Pantone","Pantone 140","#755600"
"Pantone","Pantone 1405","#5E3C00"
"Pantone","Pantone 141","#FFCF7D"
"Pantone","Pantone 142","#FFB83D"
"Pantone","Pantone 143","#FFA626"
"Pantone","Pantone 144","#FF8500"
"Pantone","Pantone 145","#EB7C00"
"Pantone","Pantone 146","#AB6100"
"Pantone","Pantone 147","#705100"
"Pantone","Pantone 148","#FFD6A1"
"Pantone","Pantone 1485","#FFBA75"
"Pantone","Pantone 149","#FFC487"
"Pantone","Pantone 1495","#FFAB54"
"Pantone","Pantone 150","#FFA64D"
"Pantone","Pantone 1505","#FF943B"
"Pantone","Orange 021","#FF7800"
"Pantone","Pantone 151","#FF850D"
"Pantone","Pantone 152","#FC7C00"
"Pantone","Pantone 1525","#E66000"
"Pantone","Pantone 153","#D17100"
"Pantone","Pantone 1535","#9E4A00"
"Pantone","Pantone 154","#A85B00"
"Pantone","Pantone 1545","#472200"
"Pantone","Pantone 155","#FFE0B8"
"Pantone","Pantone 1555","#FFC7A8"
"Pantone","Pantone 156","#FFC794"
"Pantone","Pantone 1565","#FFA882"
"Pantone","Pantone 157","#FF914D"
"Pantone","Pantone 1575","#FF8C47"
"Pantone","Pantone 158","#FF6308"
"Pantone","Pantone 1585","#FF701A"
"Pantone","Pantone 159","#ED5100"
"Pantone","Pantone 1595","#F26300"
"Pantone","Pantone 160","#AD4200"
"Pantone","Pantone 1605","#B34F00"
"Pantone","Pantone 161","#5C2C00"
"Pantone","Pantone 1615","#914000"
"Pantone","Pantone 162","#FFD9C7"
"Pantone","Pantone 1625","#FFB0A1"
"Pantone","Pantone 163","#FFB08F"
"Pantone","Pantone 1635","#FF9C85"
"Pantone","Pantone 164","#FF8A45"
"Pantone","Pantone 1645","#FF8257"
"Pantone","Pantone 165","#FF690A"
"Pantone","Pantone 1655","#FF5E17"
"Pantone","Pantone 166","#FF5C00"
"Pantone","Pantone 1665","#FF5200"
"Pantone","Pantone 167","#D45500"
"Pantone","Pantone 1675","#B83D00"
"Pantone","Pantone 168","#692D00"
"Pantone","Pantone 1685","#8F2E00"
"Pantone","Pantone 169","#FFCCCC"
"Pantone","Pantone 170","#FF998F"
"Pantone","Pantone 171","#FF7852"
"Pantone","Pantone 172","#FF571F"
"Pantone","Pantone 173","#F54C00"
"Pantone","Pantone 174","#A33100"
"Pantone","Pantone 175","#662400"
"Pantone","Pantone 176","#FFBFD1"
"Pantone","Pantone 1765","#FF9EC9"
"Pantone","Pantone 1767","#FFBAE0"
"Pantone","Pantone 177","#FF8C99"
"Pantone","Pantone 1775","#FF87B5"
"Pantone","Pantone 1777","#FF6BA3"
"Pantone","Pantone 178","#FF6970"
"Pantone","Warm Red","#FF401A"
"Pantone","Pantone 1785","#FF5480"
"Pantone","Pantone 1787","#FF3D66"
"Pantone","Red 032","#FF1A24"
"Pantone","Pantone 1788","#FF291F"
"Pantone","Pantone 179","#FF3600"
"Pantone","Pantone 1795","#FF0F00"
"Pantone","Pantone 1797","#F50002"
"Pantone","Pantone 180","#E33000"
"Pantone","Pantone 1805","#C41200"
"Pantone","Pantone 1807","#B80007"
"Pantone","Pantone 181","#872300"
"Pantone","Pantone 1815","#7D0C00"
"Pantone","Pantone 1817","#570900"
"Pantone","Pantone 182","#FFBDE6"
"Pantone","Pantone 183","#FF8AC9"
"Pantone","Pantone 184","#FF5296"
"Pantone","Pantone 185","#FF173D"
"Pantone","Pantone 186","#F5002F"
"Pantone","Pantone 187","#CC002B"
"Pantone","Pantone 188","#800400"
"Pantone","Pantone 189","#FFA1E6"
"Pantone","Pantone 1895","#FFB8ED"
"Pantone","Pantone 190","#FF73C7"
"Pantone","Pantone 1905","#FF96E8"
"Pantone","Pantone 191","#FF3D9E"
