"Até que o sol brilhe, acendamos uma vela na escuridão.","Confucio"
"Por muito longe que o espírito alcance, nunca irá tão longe como o coração.","Confucio"
"A preguiça anda tão devagar, que a pobreza facilmente a alcança.","Confucio"
"O homem que fica no alto da colina com a boca aberta esperará um longo tempo até um pato assado caia nela.","Confucio"
"A educação do homem deve começar pela poesia, ser fortificada pela conduta justa e consumar-se na música.","Confucio"
"Não te suponhas tão grande ao ponto de pensares ver os outros menores que ti.","Confucio"
"Me contaram e eu esqueci, Vi e entendi, Fiz e aprendi.","Confucio"
"Você não pode mudar o vento, mas pode ajustar as velas do barco para chegar onde quer.","Confucio"
"A conversa impregnada de vaidade e o pretensiosismo são raramente compatíveis com a virtude.","Confucio"
"Esquece as injúrias, mas jamais os benefícios.","Confucio"
"Eu não procuro saber as respostas, procuro compreender as perguntas.","Confucio"
"A humildade é o sólido fundamento de todas as virtudes.","Confucio"
"Poder sem magnanimidade e ar de luto sem dor, são coisas que não suporto presenciar.","Confucio"
"O sábio respondeu:? podemos cometer alguns excessos de vez em quando. Mas é sempre bom parar, e refletir sobre o que fazemos na vida?.","Confucio"
"Não vingue-se, que da vingança vem o arrependimento.","Confucio"
"Aquele que reprime os ímpetos da cólera estará a coberto de qualquer perigo. É conveniente saber sufocar, ou ao menos moderar a cólera, o temor, a tristeza, a alegria, e outras agitações profundas que podem alterar a retidão da alma.","Confucio"
"Quem de manhã compreendeu os ensinamentos da sabedoria, à noite pode morrer contente.","Confucio"
"Oh, a serena harmonia que emana das coisas feitas para se unirem!","Confucio"
"Na Paz e tranquilidade do seu Ser encontras as respostas para todas as suas duvidas e inquietações.","Confucio"
"O mestre disse: Quem se modera, raramente se perde.","Confucio"
"Nada é bastante para quem considera pouco o suficiente.","Confucio"
"O coração do sábio, tal como o espelho, deve a tudo refletir, sem todavia macular-se.","Confucio"
"Se queres prever o futuro, estuda o passado.","Confucio"
"Os defeitos de um homem se adequam sempre a seu tipo de mente. Observa seus defeitos e conhecerás suas virtudes.","Confucio"
"Refeições simples, água para beber, o cotovelo dobrado como travesseiro; aí está a felicidade. As riquezas e a posição sem integridade são como as nuvens que flutuam.","Confucio"
"Quem reconhece a sua ignorância começa a ser sábio.","Confucio"
"O operário que quer fazer o seu trabalho bem deve começar por afiar os seus instrumentos.","Confucio"
"O homem superior busca em si mesmo o que quer, enquanto que o homem inferior busca nos demais.","Confucio"
"Um benefício dá resposta a um benefício.","Confucio"
"Onde quer que você vá, vá com todo o coração. Variante: Para onde quer que fores, vai todo, leva junto teu coração.","Confucio"
